"listener","run","combine","chunks","Freq1","Freq2","Freq3","Freq4","Freq5","rms"
"L08","1","sub","14","0.014750408","0.011837114","0.0100353429","0.0094594436","0.00892611","0.0267063"
"L08","1","sub","15","0.013757632","0.012025595","0.009887305","0.009239535","0.008878488","0.0262952"
"L09","1","sub","1","0.13271465","0.08709427","0.05809168","0.03920793","0.02784466","0.1730241"
"L09","1","sub","2","0.07880593","0.05778205","0.03837048","0.02462086","0.017712426","0.0914146"
"L09","1","sub","3","0.07224103","0.05255253","0.033999155","0.021985306","0.015630512","0.0822342"
"L09","1","sub","4","0.06748302","0.05112975","0.032752525","0.022077776","0.014955051","0.0779081"
"L09","1","sub","5","0.07783447","0.05605723","0.037540786","0.02431661","0.016553966","0.0876291"
"L09","1","sub","6","0.074482051","0.05417777","0.03548154","0.022811976","0.01606386","0.0842045"
"L09","1","sub","7","0.07488826","0.0556897","0.036549022","0.0230804","0.016522689","0.0854882"
"L09","1","sub","8","0.06928782","0.05220896","0.033298914","0.02115052","0.015297386","0.0793265"
"L09","1","sub","9","0.07192948","0.05260127","0.033426733","0.022341681","0.015603063","0.0811849"
"L09","1","sub","10","0.06431148","0.04769883","0.03072939","0.021216311","0.01499402","0.0740582"
"L09","1","sub","11","0.06663169","0.048152489","0.0322974","0.021130172","0.014838538","0.0757311"
"L09","1","sub","12","0.06037403","0.04379015","0.029819537","0.020501665","0.014409188","0.0698765"
"L09","1","sub","13","0.058896654","0.04502068","0.029472151","0.019275831","0.014461631","0.0692485"
"L09","1","sub","14","0.09684319","0.05886307","0.03742374","0.0255544497","0.018535361","0.1045252"
"L09","1","sub","15","0.08191062","0.05217093","0.03388577","0.023956074","0.017801355","0.0905202"
"L10","1","sub","1","0.034248109","0.02819203","0.01937619","0.0134820867","0.011071899","0.0448736"
"L10","1","sub","2","0.031081935","0.025304599","0.017816917","0.01312613","0.010633848","0.0416162"
"L10","1","sub","3","0.028327688","0.024299666","0.016928266","0.012999917","0.010376344","0.0397772"
"L10","1","sub","4","0.03030009","0.02538079","0.01788819","0.013890363","0.010790915","0.0413932"
"L10","1","sub","5","0.029900474","0.026109382","0.018387651","0.013876102","0.011088432","0.0416724"
"L10","1","sub","6","0.029901386","0.025110034","0.01833922","0.014026156","0.0108038279","0.0413391"
"L10","1","sub","7","0.029059043","0.025153387","0.01866801","0.014112229","0.011348662","0.0412234"
"L10","1","sub","8","0.02842266","0.024429811","0.017771408","0.01343999","0.011058123","0.040316"
"L10","1","sub","9","0.034557832","0.029645179","0.02130745","0.015164936","0.0121298617","0.0467707"
"L10","1","sub","10","0.032006617","0.028033949","0.020233227","0.014794063","0.011676201","0.0444998"
"L10","1","sub","11","0.031766939","0.027593963","0.019750045","0.014539631","0.01158153","0.0438532"
"L10","1","sub","12","0.03628159","0.03014243","0.02152197","0.015319724","0.01170874","0.0479501"
"L10","1","sub","13","0.031503802","0.026616805","0.019141158","0.013491011","0.010933522","0.0429414"
"L10","1","sub","14","0.03017495","0.026281133","0.018752478","0.013361222","0.0110311728","0.0419917"
"L10","1","sub","15","0.029515522","0.02506544","0.017431831","0.012746251","0.010357788","0.0407231"
"L11","1","sub","1","0.042610687","0.036644043","0.02725726","0.018019996","0.013094863","0.0564193"
"L11","1","sub","2","0.05473432","0.04618827","0.03130478","0.021433052","0.015197101","0.0687177"
"L11","1","sub","3","0.045904979","0.04362018","0.03078654","0.021224665","0.014693416","0.0629018"
"L11","1","sub","4","0.04147196","0.03444844","0.024099743","0.017301296","0.013190191","0.0534965"
"L11","1","sub","5","0.041345736","0.034616714","0.025807405","0.017118463","0.013484357","0.0542485"
"L11","1","sub","6","0.04072345","0.0357374756","0.02465754","0.016879497","0.013440589","0.0539233"
"L11","1","sub","7","0.044803089","0.0389232","0.02878947","0.020168336","0.015112874","0.0597421"
